author,updated_at,like_count,text,public
@Waltuhhhhh,2024-04-11T22:41:05Z,0,Na look at the pink lady from the rewind😂😂 0:51,True
@jimmytayoan1584,2024-04-11T19:44:23Z,0,Rematch with tank,True
@vitoaccettura2261,2024-04-11T19:37:14Z,1,Looks like Cruz wants that tank rematch,True
@Back1pretzleout,2024-04-11T19:12:09Z,0,Does this dude always lose ?,True
@omarmtz643,2024-04-11T18:51:52Z,0,EL PITBULL NO PUEDE PELEAR CON EL BULTO DEL CANELO??,True
@shaunrocksthecitytvshow4117,2024-04-11T18:48:27Z,1,Rolly have to start over from scratch new trainer that really wants to help him.   🤔🤔🤔💯💯,True
@zb3485,2024-04-11T17:37:20Z,0,poor rolly...love the trashtalk he brings tho,True
@sakutasu,2024-04-11T11:37:35Z,0,"Shit talking Romero , Got his ass kicked .",True
@joeljohncarino7759,2024-04-11T11:29:29Z,0,Pitbull got dat dawg in him,True
@demoone1518,2024-04-11T06:03:49Z,0,U gotta admit tank is a scared person . He makes his roots look bad by saying no to the tematch if hes so good cmon porve it wuatation marks tank,True
@lulrico60,2024-04-11T05:35:34Z,0,Hahahaahahahahahhaua where are all these pit bull haters now ?,True
@Pt0610,2024-04-11T04:27:24Z,0,Đưa Tank đến đây,True
@alexc.3032,2024-04-11T04:07:32Z,0,We work hard and eat better than any other race and we don’t talk shit bro we back it up,True
@javierabraham4205,2024-04-11T04:00:59Z,0,La pequeña makina,True
@stevechin4262,2024-04-11T03:50:05Z,0,Two of them are trash zzz what I just watch,True
@albertocarmona4418,2024-04-11T03:06:04Z,0,No le pares el dedo a un mex por q te va mal jaja,True
@TheCivicsiep3,2024-04-11T01:35:25Z,0,to be fair to rolly for all the punches to the head he took the man stayed on his feet. i mean these arent light shots these would knock most anyone clean out and this mans head getting dribbled like a basketball with power shots. its not wonder rolly talk like hes handicapped,True
@mbkyoungan4848,2024-04-11T01:33:02Z,0,Beat the fuck out that boy😂😂😂,True
@user-jg4ki3gh8l,2024-04-11T01:23:43Z,0,"Pitbull Cruz vs Inoue bastard , let's go",True
@Writingonthewall-mx3fi,2024-04-11T00:49:55Z,0,"Rolly doesn’t have the IQ to defeat A fighters, he’s dumb as a rock,",True
@AgustinBacud-mz1dp,2024-04-10T21:24:14Z,0,ito ang tunay na monster walang pinipiling kalaban...this man is a real monster all of boxer to fight him not it like the other boxer to fight he choice..,True
@luisalejandrotalaveraflore3579,2024-04-10T20:41:00Z,0,"Jajajajajaja jajajajajaja estuvo a toda madre como le quitaste lo hocicon a ese pinche perro roñoso para que se saque a la verga, enhora buena pitbull vas a llegar lejos brother",True
@otto3967,2024-04-10T20:08:02Z,0,"It's funny how some fighters gives that intimidating stares and gets beat up, LOL!",True
@thegloreferee1588,2024-04-10T19:57:38Z,0,Everytime I see Rolly he getting man handled in the ring,True
@morristyson1,2024-04-10T19:46:09Z,0,Fall of Rolly,True
@Bask8t6608,2024-04-10T19:41:40Z,0,🇵🇭🤝🇲🇽,True
@blluecifer1463,2024-04-10T19:20:42Z,0,Never will do tank that way,True
@ArchGaming-jg3no,2024-04-10T18:31:42Z,0,Fight of the year or trash talk gone wrong?😅,True
@CatoPeralta,2024-04-10T16:47:48Z,0,Chihuahua cruz 😅,True
@ChadUnderwood-pj9nb,2024-04-10T15:44:52Z,0,Rolly ain't no boxer 😂😂😂 tank sparked him rolly isn't that good at all he is a bum his career is over he won't get no more big fights unless they feeding him to a new up and coming guy😂😂😂,True
@Naxtee,2024-04-10T15:00:47Z,0,Mini Tyson.,True
@ericwilson4815,2024-04-10T13:45:26Z,0,🔥🔥🔥🔥🔥🔥,True
@shakurzaheer9190,2024-04-10T07:18:44Z,4,I see why Tank Davis don't wanna give a rematch.,True
@gilmarcia6101,2024-04-10T06:39:22Z,0,Rematch davis🤜🤛,True
@jonathanikeda8727,2024-04-10T06:12:59Z,0,"Rolly did learn the lesson hard way. Never make any funny of his opponent with insults or mocked words before the fight. Pitbull beat him mercilessly and terribly. In other words, he is killing him.",True
@flexxnxt,2024-04-10T04:30:47Z,12,We WANT CRUZ vs DAVIS PART 2 !!,True
@Lafamiliarosario,2024-04-10T03:17:43Z,0,Ese muchacho se confió desde el primer around y lo lastimaron!,True
@Lafamiliarosario,2024-04-10T03:17:04Z,0,Si se tira con matia lo va  va a machucar!!eso te lo aseguro!!,True
@jordanfromthehill3261,2024-04-10T02:42:45Z,0,"Bruh so nobody gone talk about that overhand...
Ppl rarely throw that",True
@1536331,2024-04-10T02:32:35Z,2,Cheers to the reff who saved that mans life,True
@bigaceboogiewoogie1928,2024-04-10T01:23:26Z,0,Somebody get lil Stevie J 🤣🤣🤣. Him and dem lil gold boots forever skating across a ring.,True
@georgepassi9706,2024-04-09T23:53:07Z,0,Ahahahaha keep talkin shit rolly your nxt fight ur going down 😂,True
@ianrosal1235,2024-04-09T23:45:34Z,0,congrats pittbull cruz,True
@A62119,2024-04-09T21:47:50Z,0,":30 rolly hits Cruz(can’t tell if not from the angle), then catches his punch and pulls himself?",True
@abe.officialsyt5355,2024-04-09T21:11:28Z,0,Couldn’t do this to tank😂,True
@azaleasamanthatenajeros6010,2024-04-09T19:22:45Z,0,😂😂😂😂😂😂romero😂😂😂😂😂😂😂😂😂😂😂😂even my 5 year old son can beat him😂😂😂😂😂😂😂😂😂😂😂😂😂bwaa haha,True
@Mari-gf4fw,2024-04-09T17:44:05Z,1,"This is ain highlights , it’s the whole package 😂",True
@CliffHuxtableSweater,2024-04-09T17:31:32Z,1,After watchin Cruz fight getvonta I wouldntve wanted no part a cruz😂 Rolly need to retire and do commentary like paulie mag.,True
@ipodnano183,2024-04-09T16:30:55Z,0,🐶🐶🐶🐶,True
@jahwest4479,2024-04-09T16:26:20Z,0,"Rolly is Trash, he shouldn’t even step in the ring again",True
@St.Chriztopher,2024-04-09T16:14:28Z,0,Rolly should've taken a knee to regroup...,True
@lamar8847,2024-04-09T15:58:01Z,1,"Rolly lacks the mental sharpness of a fighter. He fights like he has very little technique. It helped against lower level opponents, but not top contenders. Rolly is tough.😊",True
@lamar8847,2024-04-09T15:54:35Z,1,It was easy for Pitbull to just walk in because Rolly did not throw ONE EFFECTIVE JAB during the whole fight. Where is his trainer?😮,True
@cvscacentral6011,2024-04-09T15:43:44Z,1,How is Romero a pro boxer???,True
@vinegum8835,2024-04-09T14:27:38Z,0,"I have seen the pre clip of Romero before fighting....
What's get's me is the way he acts as a superstar... 
Confident and tall on himself, as you should be before a fight, but this is a massive diva f'''up along with his trainers and promotors..
Or is it?...... The money always win...",True
@locdawg1906,2024-04-09T13:45:32Z,0,Eh rollyyy remember when you said Tank got lucky? Holllllllllllldddd that…,True
@PrasanthkumarKumar,2024-04-09T13:11:08Z,2,Want rematch tank vs pitbul,True
@marioa8171,2024-04-09T11:55:46Z,1,Este pitbull si representa al boxeo mexicano sin miedo y siempre adelante,True
@JhonSins-gr7os,2024-04-09T11:10:48Z,0,Congrats roland abante a.k.a bunot,True
@fero42,2024-04-09T10:58:26Z,0,"The referee made a lot of mistakes or she did it on purpose, she did not count for 10 seconds, she received the second punch, and she went backwards",True
@user-bp8nv9ei3o,2024-04-09T10:56:03Z,0,"Isaac é brutal acima de tudo resistente, o único que conseguiu lhe para foi o gervota.",True
@richarddeluna2268,2024-04-09T08:32:34Z,0,Isaac cruz vs tank davis,True
@Dennyscee,2024-04-09T08:20:02Z,0,Dude got rolled on like a rag-doll,True
@shiloistone3453,2024-04-09T07:54:19Z,0,Cruz keeps his hands nice and tight… him and gervonta definetely need a rematch,True
@fongbrandon,2024-04-09T06:41:23Z,0,This has to be up with Maidana vs Broner. A KO that never gets old now matter how many times I watch.,True
@JosephDaltonII,2024-04-09T06:28:20Z,0,Dam he fu*k him up😮,True
@pcer9973,2024-04-09T06:00:03Z,0,😂😂😂 what ending a career looks like 👍,True
@reggiewhiteuncensored9825,2024-04-09T05:20:00Z,0,Romero is trash! All talk..,True
@hoycali7396,2024-04-09T04:00:59Z,0,Mexican Golovkin 😮,True
@RBmaestroBuilders,2024-04-09T03:09:34Z,0,Tacos & beers… breakfast of champions 👊🏽🤠,True
@Lawrence437,2024-04-09T03:00:38Z,1,PItbull ate up that Cuban sandwhich 🤣🤣🤣,True
@kkaddy,2024-04-09T02:18:30Z,0,Not 1 single highlight from Rollie 😂,True
@pacoreyes2184,2024-04-09T02:12:00Z,0,"Que verguiiiza..le dió...
Happy Easter...!",True
@Lover-ur4te,2024-04-09T02:08:55Z,0,omg,True
@gs22kaiser1,2024-04-08T20:50:23Z,1,"Mexicana boxers have to fight in the ring against the judges, referee and the opponent. Son más rateros que el presidente municipal de mi pueblo.",True
@tnhezi331,2024-04-08T20:34:56Z,0,One of the best fights i have ever seen,True
@antitrollingagency,2024-04-08T20:00:08Z,1,Both are trash,True
@MizzTanzy1420,2024-04-08T18:46:32Z,0,I've never seen this dude have a good fight. smh,True
@jonathanikeda8727,2024-04-08T18:40:26Z,1,Pitbull Cruz is fighting like Mike Tyson. He knows nothing about fear. He is a dangerous fighter.,True
@Crnxzo,2024-04-08T17:57:54Z,0,same left every time he doesn’t learn doesn’t he,True
@dioesilalahi2625,2024-04-08T17:03:28Z,0,Crazy fightt🎉,True
@T-Atreves,2024-04-08T15:37:55Z,1,"Felicidades a pitbull, todo fuego gracias a su determinación y disciplina al entrenar.... 🥊🥊",True
