author,updated_at,like_count,text,public,cleaned_text,review_txt,language
@miguelangeljuarezmarin6048,2024-03-31T11:02:42Z,0,Hai  mi penjo roli por eso nunca hables de mas,True,Hai  mi penjo roli por eso nunca hables de mas,hai penjo roli nunca habl ma,es
@viajandoconwilton,2024-03-31T11:00:19Z,0,Bien😂😂❤❤❤❤ Issac se confio  mucho pensaba que el era super man😂😂😂😂. Felicidades pitbul,True,Bien❤❤❤❤ Issac se confio  mucho pensaba que el era super man. Felicidades pitbul,bien issac confio pensaba super man felicidad pitbul,es
@user-qv3yx6yw3k,2024-03-31T10:51:55Z,0,Viva México cabron$s,True,Viva México cabron$s,viva méxico cabron,es
@EmilioGonzalez-ni8yx,2024-03-31T10:49:46Z,1,Sin palabras se me erisa la piel México siempre poniendo les en su ptm,True,Sin palabras se me erisa la piel México siempre poniendo les en su ptm,palabra erisa piel méxico siempr poniendo ptm,es
@68jtarango,2024-03-31T10:48:44Z,0,Mexicano!,True,Mexicano!,mexicano,es
@carlosxlgarcia9761,2024-03-31T10:45:18Z,0,"Por eso no es bueno provocar ala jente 
Nadien quedra peliar con el chihuahua",True,"Por eso no es bueno provocar ala jente 
Nadien quedra peliar con el chihuahua",bueno provocar ala jent nadien quedra peliar chihuahua,es
@CristianPonciano-jw3wj,2024-03-31T10:44:40Z,0,y como dijo el ferras Gómez carnal ya selo cargo su puta madre 😊😊,True,y como dijo el ferras Gómez carnal ya selo cargo su puta madre ,dijo ferra gómez carnal selo cargo puta madr,es
@marlonalfonso2886,2024-03-31T10:40:14Z,0,Ese potbull es un perro de verdad..tremenda pela..,True,Ese potbull es un perro de verdad..tremenda pela..,potbul perro verdadtremenda pela,es
@Slimjxm69,2024-03-31T10:37:23Z,0,Ahuevo cabron,True,Ahuevo cabron,ahuevo cabron,es
@alejandrourdiales3473,2024-03-31T10:35:02Z,0,"Qué verguiza le metió el Pitbull
Arriba México cabrones!🇲🇽✌🏽",True,"Qué verguiza le metió el Pitbull
Arriba México cabrones!✌",verguiza metió pitbul arriba méxico cabron,es
@Alexitor,2024-03-31T10:31:27Z,0,Estoy feliz por fin Cruz conquistó lo que se merecía.,True,Estoy feliz por fin Cruz conquistó lo que se merecía.,feliz fin cruz conquistó merecía,es
@yorquimcoficial1542,2024-03-31T10:28:56Z,0,Así se calla a un bocón 😂,True,Así se calla a un bocón ,así calla bocón,es
@anibaltevez9788,2024-03-31T10:28:12Z,0,como argentino esperaba esta palisa de parte del pitbull,True,como argentino esperaba esta palisa de parte del pitbull,argentino esperaba palisa part pitbul,es
@user-ig5xr6ow6x,2024-03-31T10:24:38Z,0,"Ese rolito lo traian como PIÑATA “ dale, dale,daaale,, no pierdas el tiiino,, porque si lo pieeerdes,, pierdes el camiiino,,, ,, ya le diste 1,,, ya le diste 2,,,, ya le diste 3 ,, y tu tiempo se acabooo!! Jajaja",True,"Ese rolito lo traian como PIÑATA “ dale, dale,daaale,, no pierdas el tiiino,, porque si lo pieeerdes,, pierdes el camiiino,,, ,, ya le diste 1,,, ya le diste 2,,,, ya le diste 3 ,, y tu tiempo se acabooo!! Jajaja",rolito traian piñata dale daledaaal pierda tiiino si pieeerd pierd camiiino dist 1 dist 2 dist 3 tiempo acabooo jajaja,es
@dnr2608,2024-03-31T10:21:54Z,0,"La bestia espero que se quede en las 140, quiero verlo vs matias saludos desde PR 🫡",True,"La bestia espero que se quede en las 140, quiero verlo vs matias saludos desde PR 🫡",bestia espero qued 140 quiero verlo v matia saludo pr,es
@ramirogarcia640,2024-03-31T10:18:37Z,0,Este si es guerrero no como el cobarde de canelo,True,Este si es guerrero no como el cobarde de canelo,si guerrero cobard canelo,es
@metamorfo7,2024-03-31T10:13:56Z,0,Hasta para llevar le dieron al bocon,True,Hasta para llevar le dieron al bocon,llevar dieron bocon,es
@emiliov7139,2024-03-31T10:13:23Z,0,"El referi atrapa a romero cuando vuelva por el aire, lo pone en el ring y termina la pelea 🥊.",True,"El referi atrapa a romero cuando vuelva por el aire, lo pone en el ring y termina la pelea 🥊.",referi atrapa romero vuelva air pone ring termina pelea,es
