author,updated_at,like_count,text,public,cleaned_text,review_txt,language
@anthonymcken6050,2024-03-31T04:55:11Z,0,Cruz looks roided up.,True,Cruz looks roided up.,cruz look roid,en
@j-ttomonjr5599,2024-03-31T04:54:58Z,0,Heavy punches is the key from🇸🇽,True,Heavy punches is the key from,heavi punch key,en
@onYaFace2023,2024-03-31T04:54:58Z,0,another PBC fighter losing a belt and also what a performance,True,another PBC fighter losing a belt and also what a performance,anoth pbc fighter lose belt also perform,en
@johndamper2934,2024-03-31T04:54:42Z,0,Cruz fighting like hell to get the tank rematch haha,True,Cruz fighting like hell to get the tank rematch haha,cruz fight like hell get tank rematch haha,en
@ManuelAG_,2024-03-31T04:54:28Z,0,We need pitbull vs tank at 140,True,We need pitbull vs tank at 140,need pitbul v tank 140,en
@KeyboardWarriorNo1,2024-03-31T04:54:21Z,0,Mexican Beef 💉💉💉,True,Mexican Beef ,mexican beef,en
@tjjj.j1,2024-03-31T04:54:14Z,0,"Not gonna lie, rolly can take some hits 😭😭😭. Rolly ain’t ready. He has power but has no defense and his strikes are weird",True,"Not gonna lie, rolly can take some hits . Rolly ain’t ready. He has power but has no defense and his strikes are weird",gonna lie rolli take hit rolli readi power defens strike weird,en
@notorious.pyro24,2024-03-31T04:54:12Z,1,damn he beat the breaks off that guy,True,damn he beat the breaks off that guy,damn beat break guy,en
@Rico_707,2024-03-31T04:54:06Z,0,The grandpa Rolly beat for that belt probably happy as shit rn🤣,True,The grandpa Rolly beat for that belt probably happy as shit rn🤣,grandpa rolli beat belt probabl happi shit rn,en
@ii-qe1yn,2024-03-31T04:54:05Z,0,"this dude is trash, he shouldnt even box...punching bag not worthy opponent",True,"this dude is trash, he shouldnt even box...punching bag not worthy opponent",dude trash shouldnt even boxpunch bag worthi oppon,en
@godkingfola,2024-03-31T04:54:00Z,0,Rolly was blocking punches with his face,True,Rolly was blocking punches with his face,rolli block punch face,en
@thrill_hill,2024-03-31T04:53:59Z,2,Rolly will still have a big fight with Ryan Garcia after Haney is done with him.,True,Rolly will still have a big fight with Ryan Garcia after Haney is done with him.,rolli still big fight ryan garcia haney done,en
@houseofmayim5557,2024-03-31T04:53:51Z,0,Rollie is terrible 😆,True,Rollie is terrible ,rolli terribl,en
@NorfStar33,2024-03-31T04:53:47Z,1,He is a bum time to retire gang,True,He is a bum time to retire gang,bum time retir gang,en
@sochisi8175,2024-03-31T04:53:46Z,0,Nasty one. Issac is scary,True,Nasty one. Issac is scary,nasti one issac scari,en
@juliuscarlodegracia3478,2024-03-31T04:53:44Z,0,I feel bad for romero. Itll be better for him to retire and be a commentator,True,I feel bad for romero. Itll be better for him to retire and be a commentator,feel bad romero itll better retir comment,en
@kingpin69,2024-03-31T04:53:21Z,0,If only we had this reff for all of Floyd's fights.  Man Floyd would hug more than married couple.  He definitely changed momentum by hugging all night long,True,If only we had this reff for all of Floyd's fights.  Man Floyd would hug more than married couple.  He definitely changed momentum by hugging all night long,reff floyd fight man floyd would hug marri coupl definit chang momentum hug night long,en
@AnthonySerenuela,2024-03-31T04:53:15Z,0,Punch of pitbul is accurate..,True,Punch of pitbul is accurate..,punch pitbul accur,en
@race-shelcasaquite3947,2024-03-31T04:53:09Z,0,this should be the main event,True,this should be the main event,main event,en
@arthurvargaslujan18,2024-03-31T04:53:08Z,0,Typical yank trash talking going wrong,True,Typical yank trash talking going wrong,typic yank trash talk go wrong,en
@zylvax7641,2024-03-31T04:53:06Z,0,"I also commend the ref for giving deductions to Rolly for holding the hands of Isaac, its a great opportunity for Isaac to punch and punch😊",True,"I also commend the ref for giving deductions to Rolly for holding the hands of Isaac, its a great opportunity for Isaac to punch and punch",also commend ref give deduct rolli hold hand isaac great opportun isaac punch punch,en
@arthurvargaslujan18,2024-03-31T04:53:05Z,0,Typical yank trash talking going wrong,True,Typical yank trash talking going wrong,typic yank trash talk go wrong,en
@rasheedj6835,2024-03-31T04:53:04Z,0,That left hook seems to be rolly down fall 😂😭😂,True,That left hook seems to be rolly down fall ,left hook seem rolli fall,en
@corleykitwell,2024-03-31T04:53:04Z,1,"Rolly needs to retire, the sport is just not for him. I laugh at him but he can seriously get killed",True,"Rolly needs to retire, the sport is just not for him. I laugh at him but he can seriously get killed",rolli need retir sport laugh serious get kill,en
@juancouncil4757,2024-03-31T04:52:54Z,1,"Pitbull,I see you Man!! You beat the Fu@ck out,of Rolly. Damn! .😂",True,"Pitbull,I see you Man!! You beat the Fu@ck out,of Rolly. Damn! .",pitbulli see man beat fuck outof rolli damn,en
@ceritamma1704,2024-03-31T04:52:53Z,0,"tank only need one punch, but Pitbull neeh 8 round",True,"tank only need one punch, but Pitbull neeh 8 round",tank need one punch pitbul neeh 8 round,en
@getmoney9755,2024-03-31T04:52:51Z,0,This is the results of Rolly having a referee who won’t accept his bribe money for a world title fight.🤣,True,This is the results of Rolly having a referee who won’t accept his bribe money for a world title fight.🤣,result rolli refere accept bribe money world titl fight,en
@Keep_It_THORO,2024-03-31T04:52:44Z,240,"Now, people will realize why Tank said he never would fight Pitbull again",True,"Now, people will realize why Tank said he never would fight Pitbull again",peopl realiz tank said never would fight pitbul,en
@mrsurrender1878,2024-03-31T04:52:44Z,0,what a clown lol,True,what a clown lol,clown lol,en
@66utopia1,2024-03-31T04:52:40Z,0,Lit' Tyson!!!,True,Lit' Tyson!!!,lit tyson,en
@sevumearnold2984,2024-03-31T04:52:28Z,14,Raise up your hand if you need Cruz vs Davis rematch,True,Raise up your hand if you need Cruz vs Davis rematch,rais hand need cruz v davi rematch,en
@cheftorres247,2024-03-31T04:52:27Z,0,Fuck yea! LFG PITBULL! Humble Warrior!!!!,True,Fuck yea! LFG PITBULL! Humble Warrior!!!!,fuck yea lfg pitbul humbl warrior,en
@soto7774,2024-03-31T04:52:23Z,0,Why is sneako fighting real boxers?,True,Why is sneako fighting real boxers?,sneako fight real boxer,en
